,Total Contributions,Max Give,Months Since Last Donation,Most Recent Give Amount,Number of Gives,Average Give Amount,strong envir support,very pro-gun control,dems in red seats,house races,gives in primaries,supports AZ campaigns,strong pp support,moderate dems,Networth,female,gender unsure,male,isWhite,isJewish,isAfam,isLatinx,isIrish,isAsian,Ethnicity unsure
157,50.0,25000,8,15000,14,7373.214285714285,0,0,0,0,0,0,0,0,13.433545644481597,1,0,0,0,0,1,0,0,0,0
158,5.0,25,8,10,15,16.066666666666666,0,0,0,0,0,0,0,0,13.697264039916519,1,0,0,1,0,0,0,0,0,0
159,5.0,20,8,5,26,6.230769230769231,0,0,0,0,0,0,1,0,12.760443273059373,0,0,1,1,0,0,0,0,0,0
160,5.0,1000,8,10,10,114.0,0,0,0,0,1,0,0,0,13.692301704142668,1,0,0,1,0,0,0,0,0,0
161,5.0,86,8,5,9,19.0,0,0,0,0,0,0,0,0,13.983627539091268,1,0,0,1,0,0,0,0,0,0
162,5.0,500,8,500,22,107.54545454545455,0,1,0,0,0,0,0,0,13.270731657046932,1,0,0,1,0,0,0,0,0,0
163,5.0,75,8,35,15,40.46666666666667,0,0,0,0,0,0,1,1,13.283112241259815,1,0,0,1,0,0,0,0,0,0
164,5.0,60,8,5,7,21.428571428571427,0,0,0,0,0,0,0,0,13.739578307441555,0,0,1,1,0,0,0,0,0,0
165,5.0,50,8,30,29,13.655172413793103,0,0,0,0,0,0,1,0,14.680814474797074,1,0,0,1,0,0,0,0,0,0
166,5.0,20,8,3,9,6.777777777777778,0,0,0,0,0,0,0,0,12.833074681690965,1,0,0,0,1,0,0,0,0,0
167,5.0,50,8,3,21,19.095238095238095,0,0,0,0,0,0,0,0,13.555564267839243,0,0,1,1,0,0,0,0,0,0
168,5.0,25,8,5,7,9.285714285714286,0,0,0,0,0,0,0,0,13.59122135063676,0,0,1,0,0,0,1,0,0,0
169,5.0,35,8,5,13,13.076923076923077,0,0,0,0,0,0,0,0,13.332899791679305,1,0,0,1,0,0,0,0,0,0
170,5.0,25,8,25,13,13.846153846153847,0,0,0,0,0,0,1,0,13.274412994401255,1,0,0,0,0,1,0,0,0,0
171,5.0,25,8,25,2,20.0,0,0,0,0,0,0,0,0,13.239993512483126,1,0,0,1,0,0,0,0,0,0
172,5.0,20,8,5,11,8.0,0,1,0,1,0,0,1,0,12.867246586438988,0,0,1,1,0,0,0,0,0,0
173,5.0,20,8,5,13,6.846153846153846,0,0,0,0,0,0,1,0,14.606538701939938,0,0,1,1,0,0,0,0,0,0
174,5.0,50,8,5,10,11.6,0,0,0,0,0,0,0,0,13.051749907742956,0,0,1,1,0,0,0,0,0,0
175,5.0,175,19,175,7,106.85714285714286,0,0,0,0,0,0,0,0,13.322704927795092,1,0,0,1,0,0,0,0,0,0
176,5.0,20,19,5,14,11.571428571428571,0,0,0,0,1,0,0,0,13.0161269226683,0,1,0,0,0,1,0,0,0,0
177,5.0,20,19,5,14,8.0,0,0,0,1,1,0,0,0,13.84037291224527,1,0,0,1,0,0,0,0,0,0
178,5.0,10,19,10,2,10.0,0,0,0,0,0,0,0,0,12.473083788820796,0,0,1,1,0,0,0,0,0,0
179,5.0,27,19,10,9,14.333333333333334,0,0,0,0,1,0,0,0,12.864561091271897,1,0,0,1,0,0,0,0,0,0
180,5.0,20,19,3,12,6.833333333333333,0,0,0,0,0,0,0,0,12.65500903569521,0,0,1,1,0,0,0,0,0,0
181,5.0,20,19,20,9,11.11111111111111,0,0,0,0,0,0,0,0,12.489257118929505,1,0,0,0,0,1,0,0,0,0
182,5.0,250,19,20,15,25.333333333333332,0,0,0,0,0,0,1,0,13.013289308367849,1,0,0,1,0,0,0,0,0,0
183,5.0,27,19,5,14,9.357142857142858,0,0,0,0,1,0,0,0,13.536478962019936,1,0,0,1,0,0,0,0,0,0
184,5.0,25,3,10,4,15.0,0,0,0,0,0,0,0,0,12.813160722816642,1,0,0,1,0,0,0,0,0,0
185,5.0,20,3,20,9,11.555555555555555,0,1,0,0,0,0,0,0,12.454337985618164,1,0,0,1,0,0,0,0,0,0
186,5.0,20,3,10,14,7.5,0,0,0,0,0,0,0,0,14.102992110313243,0,0,1,1,0,0,0,0,0,0
187,5.0,25,14,25,4,11.25,0,0,0,0,0,0,0,0,14.441202969265625,0,0,1,1,0,0,0,0,0,0
188,5.0,25,14,5,8,10.625,0,0,0,0,0,0,1,0,12.81616696745459,1,0,0,1,0,0,0,0,0,0
189,5.0,5,14,5,9,4.666666666666667,0,0,0,0,0,0,0,0,13.701117146037,0,0,1,1,0,0,0,0,0,0
190,5.0,20,14,0,10,7.8,1,0,0,0,0,0,0,0,13.257930446632551,1,0,0,1,0,0,0,0,0,0
191,5.0,27,32,27,1,27.0,0,0,0,0,0,0,0,0,13.00523837519644,1,0,0,1,0,0,0,0,0,0
192,5.0,15,5,3,3,7.666666666666667,0,0,0,0,0,0,0,0,12.933007537952962,1,0,0,0,1,0,0,0,0,0
193,5.0,20,22,20,1,20.0,0,0,0,0,0,0,0,0,12.472390622228179,1,0,0,1,0,0,0,0,0,0
194,5.0,10,3,5,8,4.75,0,0,0,0,0,0,0,0,16.157693216170866,0,0,1,1,0,0,0,0,0,0
195,5.0,20,3,20,6,12.5,0,0,0,0,0,0,0,0,13.600271930251633,1,0,0,1,0,0,0,0,0,0
196,5.0,5,18,5,2,5.0,0,0,0,0,0,0,0,0,12.973009176060613,0,0,1,1,0,0,0,0,0,0
197,5.0,5,46,5,2,5.0,0,0,0,0,0,0,0,0,14.153716291211639,0,0,1,1,0,0,0,0,0,0
198,5.0,5,9,5,2,3.5,0,0,0,0,0,0,0,0,12.496934656613579,0,0,1,1,0,0,0,0,0,0
199,5.0,5,45,5,1,5.0,0,0,0,0,0,0,0,0,11.775297421715827,1,0,0,1,0,0,0,0,0,0
200,5.0,5,20,5,1,5.0,0,0,0,0,0,0,0,0,11.493650898225532,1,0,0,1,0,0,0,0,0,0
